PA	SP	Score	sentence_num	url
Bankruptcy		10	3	http://aalrr.com/attorneys/aaron-s.-craig
Bankruptcy		10	14	http://aalrr.com/attorneys/aaron-s.-craig
Bankruptcy		10	14	http://aalrr.com/attorneys/aaron-s.-craig
Bankruptcy		10	14	http://aalrr.com/attorneys/aaron-s.-craig
Bankruptcy		10	14	http://aalrr.com/attorneys/aaron-s.-craig
Bankruptcy		10	14	http://aalrr.com/attorneys/aaron-s.-craig
Litigation	Education Law	1	3	http://aalrr.com/attorneys/alyssa-ruiz-de-esparza
Government	Education Law	1	3	http://aalrr.com/attorneys/alyssa-ruiz-de-esparza
Litigation	Education Law	1	8	http://aalrr.com/attorneys/alyssa-ruiz-de-esparza
Government	Education Law	1	8	http://aalrr.com/attorneys/alyssa-ruiz-de-esparza
Litigation	Education Law	1	2	http://aalrr.com/attorneys/heather_a._dozier
Government	Education Law	1	2	http://aalrr.com/attorneys/heather_a._dozier
Litigation	Education Law	1	3	http://aalrr.com/attorneys/john_w._dietrich
Litigation	Education Law	1	3	http://aalrr.com/attorneys/john_w._dietrich
Litigation	Education Law	1	3	http://aalrr.com/attorneys/john_w._dietrich
Litigation	Education Law	1	3	http://aalrr.com/attorneys/john_w._dietrich
Government	Education Law	1	3	http://aalrr.com/attorneys/john_w._dietrich
Government	Education Law	1	3	http://aalrr.com/attorneys/john_w._dietrich
Government	Education Law	1	3	http://aalrr.com/attorneys/john_w._dietrich
Government	Education Law	1	3	http://aalrr.com/attorneys/john_w._dietrich
Labor & Employment	ADA	1	3	http://aalrr.com/attorneys/lindsey-m.-wrape
Labor & Employment	ADA	1	3	http://aalrr.com/attorneys/lindsey-m.-wrape
Labor & Employment	ADA	1	3	http://aalrr.com/attorneys/lindsey-m.-wrape
Labor & Employment	ADA	1	3	http://aalrr.com/attorneys/lindsey-m.-wrape
Labor & Employment	ADA	1	3	http://aalrr.com/attorneys/lindsey-m.-wrape
Labor & Employment	ADA	1	3	http://aalrr.com/attorneys/lindsey-m.-wrape
Labor & Employment	ADA	1	3	http://aalrr.com/attorneys/lindsey-m.-wrape
Labor & Employment	ADA	1	3	http://aalrr.com/attorneys/lindsey-m.-wrape
Labor & Employment	ADA	1	3	http://aalrr.com/attorneys/lindsey-m.-wrape
Labor & Employment	ADA	1	3	http://aalrr.com/attorneys/lindsey-m.-wrape
Labor & Employment	ADA	1	3	http://aalrr.com/attorneys/lindsey-m.-wrape
Labor & Employment	ADA	1	3	http://aalrr.com/attorneys/lindsey-m.-wrape
Litigation	Education Law	1	2	http://aalrr.com/attorneys/lisa_r._allred
Litigation	Education Law	1	2	http://aalrr.com/attorneys/lisa_r._allred
Government	Education Law	1	2	http://aalrr.com/attorneys/lisa_r._allred
Government	Education Law	1	2	http://aalrr.com/attorneys/lisa_r._allred
Litigation	Education Law	1	3	http://aalrr.com/attorneys/lisa_r._allred
Litigation	Education Law	1	3	http://aalrr.com/attorneys/lisa_r._allred
Government	Education Law	1	3	http://aalrr.com/attorneys/lisa_r._allred
Government	Education Law	1	3	http://aalrr.com/attorneys/lisa_r._allred
Environmental	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Environmental	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Environmental	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Environmental	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Environmental	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Environmental	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Environmental	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Energy		10	1	http://barclaydamon.com/profiles/George-M-Pond
Energy		10	1	http://barclaydamon.com/profiles/George-M-Pond
Energy		10	1	http://barclaydamon.com/profiles/George-M-Pond
Energy		10	1	http://barclaydamon.com/profiles/George-M-Pond
Energy		10	1	http://barclaydamon.com/profiles/George-M-Pond
Energy		10	1	http://barclaydamon.com/profiles/George-M-Pond
Energy		10	1	http://barclaydamon.com/profiles/George-M-Pond
Corporate	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Corporate	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Corporate	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Corporate	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Corporate	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Corporate	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Corporate	Energy	1	1	http://barclaydamon.com/profiles/George-M-Pond
Environmental	Energy	1	2	http://barclaydamon.com/profiles/George-M-Pond
Environmental	Energy	1	2	http://barclaydamon.com/profiles/George-M-Pond
Environmental	Energy	1	2	http://barclaydamon.com/profiles/George-M-Pond
Environmental	Energy	1	2	http://barclaydamon.com/profiles/George-M-Pond
Energy		10	2	http://barclaydamon.com/profiles/George-M-Pond
Energy		10	2	http://barclaydamon.com/profiles/George-M-Pond
Energy		10	2	http://barclaydamon.com/profiles/George-M-Pond
Energy		10	2	http://barclaydamon.com/profiles/George-M-Pond
Corporate	Energy	1	2	http://barclaydamon.com/profiles/George-M-Pond
Corporate	Energy	1	2	http://barclaydamon.com/profiles/George-M-Pond
Corporate	Energy	1	2	http://barclaydamon.com/profiles/George-M-Pond
Corporate	Energy	1	2	http://barclaydamon.com/profiles/George-M-Pond
Environmental	Energy	1	1	http://bcr.tv/attorney/bhoghooghi
Energy		10	1	http://bcr.tv/attorney/bhoghooghi
Corporate	Energy	1	1	http://bcr.tv/attorney/bhoghooghi
Environmental	Energy	1	8	http://bcr.tv/attorney/daniel-fisher-owens
Energy		10	8	http://bcr.tv/attorney/daniel-fisher-owens
Corporate	Energy	1	8	http://bcr.tv/attorney/daniel-fisher-owens
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Labor & Employment	ADA	1	31	http://bcr.tv/attorney/melvin-white
Bankruptcy		10	1	http://barclaydamon.com/profiles/Beth-Ann-Bivona
Bankruptcy		10	1	http://barclaydamon.com/profiles/Beth-Ann-Bivona
Bankruptcy		10	1	http://barclaydamon.com/profiles/Beth-Ann-Bivona
Bankruptcy		10	1	http://barclaydamon.com/profiles/Beth-Ann-Bivona
Bankruptcy		10	1	http://barclaydamon.com/profiles/Beth-Ann-Bivona
Bankruptcy		10	2	http://barclaydamon.com/profiles/Beth-Ann-Bivona
Bankruptcy		10	2	http://barclaydamon.com/profiles/Beth-Ann-Bivona
Bankruptcy		10	2	http://barclaydamon.com/profiles/Beth-Ann-Bivona
Bankruptcy		10	2	http://barclaydamon.com/profiles/Beth-Ann-Bivona
Bankruptcy		10	2	http://barclaydamon.com/profiles/Beth-Ann-Bivona
Bankruptcy		10	3	http://barclaydamon.com/profiles/Beth-Ann-Bivona
